"time","scramble","date"
01:28.150,B2 F2 U2 R F2 D2 U2 R U2 L R B L R2 B' F2 D L2 F,2020-01-26 19:45:00 UTC
01:17.984,L D B R D' F2 L' D' R' B' D' R' L' U2 F2 L2 F2 R',2020-01-26 19:48:00 UTC
01:42.880,F' D2 B' U2 L2 D2 L2 B U2 F' D' B U B' F' R D2 B' F,2020-01-26 19:51:00 UTC
01:26.715,B2 R2 U2 B2 F L2 B R' B2 D R2 U F' R' U B R2 D2,2020-01-26 19:54:00 UTC
01:22.957,U F B2 U' F D2 R2 F U L U D2 B' L2 F L2 U2 B L2 B2,2020-01-26 19:57:00 UTC
01:34.325,F' B2 R2 D R B L D' R' F' B2 U2 R2 L F2 B2 U2 R' U2 D2 R,2020-01-27 13:20:00 UTC
01:13.972,D R2 U' B2 U L2 D2 R2 B2 U' L B2 F' D2 R B' F' U2 R2,2020-01-27 13:22:00 UTC
01:01.356,R2 U2 F' L' B' R U2 D R' F2 U F2 D2 B2 R2 F' D2 F D2,2020-01-27 13:24:00 UTC
01:12.776,L2 D B2 L2 D L2 R2 F2 U' L' F' D' B2 F' L2 R' U2 F L2 R2,2020-01-27 13:27:00 UTC
01:31.701,U2 L2 D2 B2 F2 R' D2 B2 R U F2 L B F L2 D' B' L' R2 F2,2020-01-27 13:30:00 UTC
01:17.747,U2 R' B2 R U2 R B2 U2 L' F2 L' F' U' R2 B D' L F' L' F',2020-01-27 13:35:00 UTC
01:28.785,F2 U' B2 D' U2 R' D2 U L' U B2 L' F' U B' R',2020-01-27 13:38:00 UTC
01:29.039,L2 B2 L2 D F2 U F D' B' F' R F U B F2 L F2 R2,2020-01-27 13:40:00 UTC
01:15.588,U' F B' U' B2 L2 U2 B' U' R D2 F L2 F B' D2 B R2 F,2020-01-27 19:26:00 UTC
01:10.315,B' U2 R L U2 B U' B2 R L' U R2 B2 D2 F D2 R2 F' D2 B2,2020-01-27 19:28:00 UTC
01:08.152,B2 D2 F2 D L2 D R2 U B2 U2 B D' R' F2 L' R' F2 D L' U,2020-01-27 19:31:00 UTC
01:18.437,B2 L' F2 L R U2 L U2 B2 R U B2 L2 R' U R' F' L' R',2020-01-27 19:33:00 UTC
01:15.958,F R' B D2 R D' R2 D2 L F' R2 D2 B2 U2 F2 R D2 R B2 L,2020-01-27 19:36:00 UTC
01:55.957,R' D2 L2 U2 L' B2 R B2 D2 B2 R D' L R F' L' D2 B U F U',2020-01-27 19:39:00 UTC
01:17.396,D R2 L F' L' U2 F2 U' B U B2 R2 B2 U2 R' L' B2 L D2,2020-01-27 19:41:00 UTC
01:14.593,D2 B D2 U2 B' U2 B2 L' B2 L2 D2 U2 L U2 L B' F2 D',2020-01-27 19:47:00 UTC
01:40.291,R' B2 L' B2 L B2 D2 R' B2 R U L U2 B' D' F U2 B F,2020-01-27 19:49:00 UTC
01:24.929,D F2 D R B2 D2 B' L D' F B2 U' D' R2 B2 D' B2 U' F2 U',2020-01-27 19:52:00 UTC
01:46.806,D F2 B' R' F L2 B2 R D2 B2 R' B' U2 L2 F2 R2 L2,2020-01-27 19:55:00 UTC
00:49.620,D B R2 U' R F U D2 L' U2 F' D' B2 U L2 B2 D2 R2 B2,2020-01-28 17:09:00 UTC
01:36.401,U D' F' B' U2 B' L F U' B' D2 B2 D2 L2 D2 R2 B' R2 L2,2020-01-28 17:12:00 UTC
01:52.379,U2 R' U' D' B2 U' F D F2 D' L' F U2 D2 B U2 F D2,2020-01-28 19:35:00 UTC
